[2024-12-28 22:00:06,396, 20, root, INFO - Initiate the data ingestion]
[2024-12-28 22:00:11,069, 67, root, INFO - Performed train test split on the dataframe]
[2024-12-28 22:00:11,069, 69, root, INFO - Exited split_data_as_train_test method of Data_Ingestion class]
[2024-12-28 22:00:11,072, 77, root, INFO - Exporting train and test file path.]
[2024-12-28 22:00:11,315, 86, root, INFO - Exported train and test file path.]
[2024-12-28 22:00:11,315, 22, root, INFO - Data Initiation Completed]
[2024-12-28 22:00:11,370, 26, root, INFO - Initiate the data Validation]
[2024-12-28 22:00:11,568, 32, root, INFO - Required number of columns:2]
[2024-12-28 22:00:11,568, 33, root, INFO - Data frame has columns:31]
[2024-12-28 22:00:11,568, 32, root, INFO - Required number of columns:2]
[2024-12-28 22:00:11,568, 33, root, INFO - Data frame has columns:31]
[2024-12-28 22:00:12,176, 28, root, INFO - data Validation Completed]
[2024-12-28 22:00:12,177, 31, root, INFO - data Transformation started]
[2024-12-28 22:00:12,178, 63, root, INFO - Entered initiate_data_transformation method of DataTransformation class]
[2024-12-28 22:00:12,178, 65, root, INFO - Starting data transformation]
[2024-12-28 22:00:12,274, 48, root, INFO - Entered get_data_trnasformer_object method of Trnasformation class]
[2024-12-28 22:00:12,275, 53, root, INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}]
[2024-12-28 22:00:12,392, 46, root, INFO - Entered the save_object method of MainUtils class]
[2024-12-28 22:00:12,419, 50, root, INFO - Exited the save_object method of MainUtils class]
[2024-12-28 22:00:12,420, 46, root, INFO - Entered the save_object method of MainUtils class]
[2024-12-28 22:00:12,429, 50, root, INFO - Exited the save_object method of MainUtils class]
[2024-12-28 22:00:12,433, 35, root, INFO - data Transformation completed]
[2024-12-28 22:00:12,433, 37, root, INFO - Model Training sstared]
[2024-12-28 22:01:25,939, 20, root, INFO - Initiate the data ingestion]
[2024-12-28 22:01:29,772, 67, root, INFO - Performed train test split on the dataframe]
[2024-12-28 22:01:29,772, 69, root, INFO - Exited split_data_as_train_test method of Data_Ingestion class]
[2024-12-28 22:01:29,774, 77, root, INFO - Exporting train and test file path.]
[2024-12-28 22:01:29,976, 86, root, INFO - Exported train and test file path.]
[2024-12-28 22:01:29,976, 22, root, INFO - Data Initiation Completed]
[2024-12-28 22:01:29,990, 26, root, INFO - Initiate the data Validation]
[2024-12-28 22:01:30,175, 32, root, INFO - Required number of columns:2]
[2024-12-28 22:01:30,175, 33, root, INFO - Data frame has columns:31]
[2024-12-28 22:01:30,175, 32, root, INFO - Required number of columns:2]
[2024-12-28 22:01:30,175, 33, root, INFO - Data frame has columns:31]
[2024-12-28 22:01:30,696, 28, root, INFO - data Validation Completed]
[2024-12-28 22:01:30,696, 31, root, INFO - data Transformation started]
[2024-12-28 22:01:30,696, 63, root, INFO - Entered initiate_data_transformation method of DataTransformation class]
[2024-12-28 22:01:30,696, 65, root, INFO - Starting data transformation]
[2024-12-28 22:01:30,781, 48, root, INFO - Entered get_data_trnasformer_object method of Trnasformation class]
[2024-12-28 22:01:30,781, 53, root, INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}]
[2024-12-28 22:01:30,815, 46, root, INFO - Entered the save_object method of MainUtils class]
[2024-12-28 22:01:30,821, 50, root, INFO - Exited the save_object method of MainUtils class]
[2024-12-28 22:01:30,823, 46, root, INFO - Entered the save_object method of MainUtils class]
[2024-12-28 22:01:30,829, 50, root, INFO - Exited the save_object method of MainUtils class]
[2024-12-28 22:01:30,832, 35, root, INFO - data Transformation completed]
[2024-12-28 22:01:30,832, 37, root, INFO - Model Training sstared]
[2024-12-28 22:09:16,451, 20, root, INFO - Initiate the data ingestion]
[2024-12-28 22:09:22,968, 67, root, INFO - Performed train test split on the dataframe]
[2024-12-28 22:09:22,968, 69, root, INFO - Exited split_data_as_train_test method of Data_Ingestion class]
[2024-12-28 22:09:22,969, 77, root, INFO - Exporting train and test file path.]
[2024-12-28 22:09:23,282, 86, root, INFO - Exported train and test file path.]
[2024-12-28 22:09:23,288, 22, root, INFO - Data Initiation Completed]
[2024-12-28 22:09:23,309, 26, root, INFO - Initiate the data Validation]
[2024-12-28 22:09:23,509, 32, root, INFO - Required number of columns:2]
[2024-12-28 22:09:23,509, 33, root, INFO - Data frame has columns:31]
[2024-12-28 22:09:23,509, 32, root, INFO - Required number of columns:2]
[2024-12-28 22:09:23,509, 33, root, INFO - Data frame has columns:31]
[2024-12-28 22:09:24,249, 28, root, INFO - data Validation Completed]
[2024-12-28 22:09:24,249, 31, root, INFO - data Transformation started]
[2024-12-28 22:09:24,251, 63, root, INFO - Entered initiate_data_transformation method of DataTransformation class]
[2024-12-28 22:09:24,251, 65, root, INFO - Starting data transformation]
[2024-12-28 22:09:24,356, 48, root, INFO - Entered get_data_trnasformer_object method of Trnasformation class]
[2024-12-28 22:09:24,356, 53, root, INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}]
[2024-12-28 22:09:24,406, 46, root, INFO - Entered the save_object method of MainUtils class]
[2024-12-28 22:09:24,417, 50, root, INFO - Exited the save_object method of MainUtils class]
[2024-12-28 22:09:24,417, 46, root, INFO - Entered the save_object method of MainUtils class]
[2024-12-28 22:09:24,428, 50, root, INFO - Exited the save_object method of MainUtils class]
[2024-12-28 22:09:24,435, 35, root, INFO - data Transformation completed]
[2024-12-28 22:09:24,435, 37, root, INFO - Model Training sstared]
[2024-12-28 22:10:13,043, 20, root, INFO - Initiate the data ingestion]
[2024-12-28 22:10:16,508, 67, root, INFO - Performed train test split on the dataframe]
[2024-12-28 22:10:16,508, 69, root, INFO - Exited split_data_as_train_test method of Data_Ingestion class]
[2024-12-28 22:10:16,508, 77, root, INFO - Exporting train and test file path.]
[2024-12-28 22:10:16,723, 86, root, INFO - Exported train and test file path.]
[2024-12-28 22:10:16,723, 22, root, INFO - Data Initiation Completed]
[2024-12-28 22:10:16,733, 26, root, INFO - Initiate the data Validation]
[2024-12-28 22:10:16,893, 32, root, INFO - Required number of columns:2]
[2024-12-28 22:10:16,893, 33, root, INFO - Data frame has columns:31]
[2024-12-28 22:10:16,893, 32, root, INFO - Required number of columns:2]
[2024-12-28 22:10:16,893, 33, root, INFO - Data frame has columns:31]
[2024-12-28 22:10:17,351, 28, root, INFO - data Validation Completed]
[2024-12-28 22:10:17,351, 31, root, INFO - data Transformation started]
[2024-12-28 22:10:17,351, 63, root, INFO - Entered initiate_data_transformation method of DataTransformation class]
[2024-12-28 22:10:17,351, 65, root, INFO - Starting data transformation]
[2024-12-28 22:10:17,435, 48, root, INFO - Entered get_data_trnasformer_object method of Trnasformation class]
[2024-12-28 22:10:17,435, 53, root, INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}]
[2024-12-28 22:10:17,471, 46, root, INFO - Entered the save_object method of MainUtils class]
[2024-12-28 22:10:17,471, 50, root, INFO - Exited the save_object method of MainUtils class]
[2024-12-28 22:10:17,471, 46, root, INFO - Entered the save_object method of MainUtils class]
[2024-12-28 22:10:17,482, 50, root, INFO - Exited the save_object method of MainUtils class]
[2024-12-28 22:10:17,482, 35, root, INFO - data Transformation completed]
[2024-12-28 22:10:17,482, 37, root, INFO - Model Training sstared]
[2024-12-28 22:14:15,524, 20, root, INFO - Initiate the data ingestion]
[2024-12-28 22:14:18,978, 67, root, INFO - Performed train test split on the dataframe]
[2024-12-28 22:14:18,978, 69, root, INFO - Exited split_data_as_train_test method of Data_Ingestion class]
[2024-12-28 22:14:18,993, 77, root, INFO - Exporting train and test file path.]
[2024-12-28 22:14:19,194, 86, root, INFO - Exported train and test file path.]
[2024-12-28 22:14:19,194, 22, root, INFO - Data Initiation Completed]
[2024-12-28 22:14:19,212, 26, root, INFO - Initiate the data Validation]
[2024-12-28 22:14:19,392, 32, root, INFO - Required number of columns:2]
[2024-12-28 22:14:19,392, 33, root, INFO - Data frame has columns:31]
[2024-12-28 22:14:19,392, 32, root, INFO - Required number of columns:2]
[2024-12-28 22:14:19,392, 33, root, INFO - Data frame has columns:31]
[2024-12-28 22:14:19,913, 28, root, INFO - data Validation Completed]
[2024-12-28 22:14:19,924, 31, root, INFO - data Transformation started]
[2024-12-28 22:14:19,924, 63, root, INFO - Entered initiate_data_transformation method of DataTransformation class]
[2024-12-28 22:14:19,924, 65, root, INFO - Starting data transformation]
[2024-12-28 22:14:19,989, 48, root, INFO - Entered get_data_trnasformer_object method of Trnasformation class]
[2024-12-28 22:14:19,989, 53, root, INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}]
[2024-12-28 22:14:20,025, 46, root, INFO - Entered the save_object method of MainUtils class]
[2024-12-28 22:14:20,032, 50, root, INFO - Exited the save_object method of MainUtils class]
[2024-12-28 22:14:20,032, 46, root, INFO - Entered the save_object method of MainUtils class]
[2024-12-28 22:14:20,039, 50, root, INFO - Exited the save_object method of MainUtils class]
[2024-12-28 22:14:20,039, 35, root, INFO - data Transformation completed]
[2024-12-28 22:14:20,039, 37, root, INFO - Model Training sstared]
[2024-12-28 22:14:56,152, 20, root, INFO - Initiate the data ingestion]
[2024-12-28 22:15:00,401, 67, root, INFO - Performed train test split on the dataframe]
[2024-12-28 22:15:00,401, 69, root, INFO - Exited split_data_as_train_test method of Data_Ingestion class]
[2024-12-28 22:15:00,403, 77, root, INFO - Exporting train and test file path.]
[2024-12-28 22:15:00,628, 86, root, INFO - Exported train and test file path.]
[2024-12-28 22:15:00,632, 22, root, INFO - Data Initiation Completed]
[2024-12-28 22:15:00,645, 26, root, INFO - Initiate the data Validation]
[2024-12-28 22:15:00,812, 32, root, INFO - Required number of columns:2]
[2024-12-28 22:15:00,812, 33, root, INFO - Data frame has columns:31]
[2024-12-28 22:15:00,815, 32, root, INFO - Required number of columns:2]
[2024-12-28 22:15:00,815, 33, root, INFO - Data frame has columns:31]
[2024-12-28 22:15:01,306, 28, root, INFO - data Validation Completed]
[2024-12-28 22:15:01,306, 31, root, INFO - data Transformation started]
[2024-12-28 22:15:01,306, 63, root, INFO - Entered initiate_data_transformation method of DataTransformation class]
[2024-12-28 22:15:01,306, 65, root, INFO - Starting data transformation]
[2024-12-28 22:15:01,403, 48, root, INFO - Entered get_data_trnasformer_object method of Trnasformation class]
[2024-12-28 22:15:01,403, 53, root, INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}]
[2024-12-28 22:15:01,436, 46, root, INFO - Entered the save_object method of MainUtils class]
[2024-12-28 22:15:01,447, 50, root, INFO - Exited the save_object method of MainUtils class]
[2024-12-28 22:15:01,448, 46, root, INFO - Entered the save_object method of MainUtils class]
[2024-12-28 22:15:01,452, 50, root, INFO - Exited the save_object method of MainUtils class]
[2024-12-28 22:15:01,452, 35, root, INFO - data Transformation completed]
[2024-12-28 22:15:01,452, 37, root, INFO - Model Training sstared]
[2024-12-28 22:16:20,051, 20, root, INFO - Initiate the data ingestion]
[2024-12-28 22:16:24,492, 67, root, INFO - Performed train test split on the dataframe]
[2024-12-28 22:16:24,492, 69, root, INFO - Exited split_data_as_train_test method of Data_Ingestion class]
[2024-12-28 22:16:24,500, 77, root, INFO - Exporting train and test file path.]
[2024-12-28 22:16:24,700, 86, root, INFO - Exported train and test file path.]
[2024-12-28 22:16:24,706, 22, root, INFO - Data Initiation Completed]
[2024-12-28 22:16:24,718, 26, root, INFO - Initiate the data Validation]
[2024-12-28 22:16:24,884, 32, root, INFO - Required number of columns:2]
[2024-12-28 22:16:24,884, 33, root, INFO - Data frame has columns:31]
[2024-12-28 22:16:24,884, 32, root, INFO - Required number of columns:2]
[2024-12-28 22:16:24,884, 33, root, INFO - Data frame has columns:31]
[2024-12-28 22:16:25,378, 28, root, INFO - data Validation Completed]
[2024-12-28 22:16:25,380, 31, root, INFO - data Transformation started]
[2024-12-28 22:16:25,380, 63, root, INFO - Entered initiate_data_transformation method of DataTransformation class]
[2024-12-28 22:16:25,380, 65, root, INFO - Starting data transformation]
[2024-12-28 22:16:25,457, 48, root, INFO - Entered get_data_trnasformer_object method of Trnasformation class]
[2024-12-28 22:16:25,457, 53, root, INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}]
[2024-12-28 22:16:25,479, 46, root, INFO - Entered the save_object method of MainUtils class]
[2024-12-28 22:16:25,495, 50, root, INFO - Exited the save_object method of MainUtils class]
[2024-12-28 22:16:25,495, 46, root, INFO - Entered the save_object method of MainUtils class]
[2024-12-28 22:16:25,495, 50, root, INFO - Exited the save_object method of MainUtils class]
[2024-12-28 22:16:25,514, 35, root, INFO - data Transformation completed]
[2024-12-28 22:16:25,514, 37, root, INFO - Model Training sstared]
[2024-12-28 22:37:18,543, 20, root, INFO - Initiate the data ingestion]
[2024-12-28 22:37:23,281, 67, root, INFO - Performed train test split on the dataframe]
[2024-12-28 22:37:23,281, 69, root, INFO - Exited split_data_as_train_test method of Data_Ingestion class]
[2024-12-28 22:37:23,283, 77, root, INFO - Exporting train and test file path.]
[2024-12-28 22:37:23,519, 86, root, INFO - Exported train and test file path.]
[2024-12-28 22:37:23,522, 22, root, INFO - Data Initiation Completed]
[2024-12-28 22:37:23,539, 26, root, INFO - Initiate the data Validation]
[2024-12-28 22:37:23,732, 32, root, INFO - Required number of columns:2]
[2024-12-28 22:37:23,735, 33, root, INFO - Data frame has columns:31]
[2024-12-28 22:37:23,735, 32, root, INFO - Required number of columns:2]
[2024-12-28 22:37:23,735, 33, root, INFO - Data frame has columns:31]
[2024-12-28 22:37:24,272, 28, root, INFO - data Validation Completed]
[2024-12-28 22:37:24,276, 31, root, INFO - data Transformation started]
[2024-12-28 22:37:24,276, 63, root, INFO - Entered initiate_data_transformation method of DataTransformation class]
[2024-12-28 22:37:24,276, 65, root, INFO - Starting data transformation]
[2024-12-28 22:37:24,445, 48, root, INFO - Entered get_data_trnasformer_object method of Trnasformation class]
[2024-12-28 22:37:24,447, 53, root, INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}]
[2024-12-28 22:37:24,491, 46, root, INFO - Entered the save_object method of MainUtils class]
[2024-12-28 22:37:24,501, 50, root, INFO - Exited the save_object method of MainUtils class]
[2024-12-28 22:37:24,501, 46, root, INFO - Entered the save_object method of MainUtils class]
[2024-12-28 22:37:24,509, 50, root, INFO - Exited the save_object method of MainUtils class]
[2024-12-28 22:37:24,515, 35, root, INFO - data Transformation completed]
[2024-12-28 22:37:24,515, 37, root, INFO - Model Training sstared]
[2024-12-28 22:40:27,582, 46, root, INFO - Entered the save_object method of MainUtils class]
[2024-12-28 22:40:27,584, 50, root, INFO - Exited the save_object method of MainUtils class]
[2024-12-28 22:40:27,584, 46, root, INFO - Entered the save_object method of MainUtils class]
[2024-12-28 22:40:27,587, 50, root, INFO - Exited the save_object method of MainUtils class]
[2024-12-28 22:40:27,587, 116, root, INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9918256130790191, precision_score=0.9881359340438367, recall_score=0.9955429497568882), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9722448979591837, precision_score=0.9690805532953621, recall_score=0.9754299754299754))]
[2024-12-28 22:40:27,589, 42, root, INFO - Model Training artifact created]
